FID;objectid;tur_id;alt_tur_id;adi;ilce_id;mah_id;csbm_id;adres;poi_id;derece;ncsbm_id;url
100;9296;91;338;Ýnci Otopark;2062;50156;11978236;Karabaþ Mah. Köseoðlu Sokaðý;6704;6;12966925; 
101;9374;91;338;Azap Otopark;1338;50285;83783456;Sultan Orhan Mah. 1130/3. Sokak;6698;6;99940355; 
102;9375;91;338;Tekgüç Otopark;1338;50285;86057437;Sultan Orhan Mah. Ýlyaz Bey Caddesi;6699;6;58690066; 
103;9424;91;338;Yaman Otopark;1338;50276;43570860;Hacýhalil Mah. Zübeyde Haným Caddesi;6587;6;59805200; 
104;9452;91;338;Iþýklar Otopark;1338;50276;38914529;Hacýhalil Mah. Körfez Caddesi;3356;6;24643181; 
105;9454;91;338;Demir Otopark;1338;50276;26251504;Hacýhalil Mah. 1218. Sokak;3361;6;43753540; 
106;9456;91;338;Çelik Otopark;1338;50270;24109878;Barýþ Mah. 1803/2 Sokak;3372;6;30890735; 
107;9458;91;338;Öztek Otopark;1338;50271;11493822;Beylikbaðý Mah. Sakarya Caddesi;6761;6;65330250; 
108;9462;91;338;Kondu Otopark;1338;50270;49408461;Barýþ Mah. 1803/4 Sokak;3373;6;66887191; 
109;10870;91;338;Çetin Otopark;2062;50151;30047351;Çukurbað mah. Çukurbað Geçidi Sokak;3266;6;23279037; 
110;10898;91;338;Gültekin Otopark;2062;50151;88219167;Çukurbað Mah. Ali Baba Sokaðý;3263;6;94031028; 
111;10899;91;338;Güzel Otopark;2062;50151;90326323;Çukurbað Mah. Küçük Hamam Sokaðý;3264;6;95958112; 
112;10900;91;338;Çýnarlý Otopark;2062;50151;25228313;Çukurbað Mah. Gülümser Sokaðý;3265;6;64226624; 
